Datetime,Content Type,Category,Sentiment,Score
2021-05-27 15:21:54,GIF,cooking,negative,12
2020-07-21 02:12:26,GIF,cooking,neutral,35
2021-05-26 06:09:46,GIF,cooking,negative,10
2021-02-25 03:16:57,GIF,cooking,negative,10
2020-12-07 22:50:16,GIF,cooking,positive,45
2020-10-24 14:06:32,GIF,cooking,neutral,20
2020-09-01 21:18:45,GIF,cooking,neutral,35
2021-05-10 22:07:25,GIF,cooking,positive,72
2021-02-12 16:37:36,video,dogs,positive,70
2021-04-28 15:22:49,video,dogs,positive,60
2021-01-24 00:38:50,video,dogs,positive,45
2021-03-18 01:53:44,video,dogs,negative,12
2021-01-14 07:21:32,video,dogs,negative,0
2020-12-23 04:11:42,video,dogs,positive,60
2021-05-21 07:23:46,video,dogs,negative,5
2021-03-28 23:25:16,video,dogs,positive,50
2020-09-16 07:33:24,video,dogs,neutral,35
2020-11-08 10:53:19,video,dogs,neutral,20
2021-03-06 05:23:29,video,dogs,positive,60
2021-01-13 23:35:56,video,dogs,negative,0
2020-09-06 22:35:47,video,dogs,positive,70
2020-06-24 09:31:00,video,dogs,positive,30
2021-02-07 21:39:16,video,dogs,negative,5
2021-01-21 18:28:01,video,dogs,positive,45
2021-02-27 00:21:50,video,dogs,negative,10
2020-08-22 12:06:49,video,dogs,negative,12
2020-08-03 06:29:58,video,dogs,positive,70
2020-08-02 06:20:43,video,dogs,negative,15
2021-06-04 04:57:36,video,dogs,positive,70
2020-10-21 09:07:21,video,dogs,positive,75
2020-12-26 19:46:34,video,dogs,negative,10
2021-03-02 22:47:19,video,dogs,negative,15
2021-03-31 09:48:00,video,dogs,neutral,20
2021-06-14 13:44:48,video,dogs,positive,30
2020-12-27 17:04:31,video,dogs,negative,15
2021-02-11 03:51:01,video,dogs,negative,15
2020-12-07 19:07:35,video,dogs,positive,30
2020-12-28 08:31:27,video,dogs,positive,30
2020-10-26 05:27:32,video,dogs,positive,30
2020-09-26 18:43:58,video,dogs,negative,12
2020-11-25 13:01:22,video,dogs,negative,15
2020-07-11 05:51:54,video,dogs,positive,60
2021-03-19 16:23:19,video,dogs,positive,60
2020-10-11 18:31:06,video,dogs,positive,30
2020-11-02 20:15:03,video,dogs,positive,60
2020-10-01 03:35:13,video,dogs,positive,70
2021-02-11 20:10:20,video,dogs,negative,0
2021-02-07 15:59:10,video,dogs,positive,70
2020-10-17 11:46:24,video,dogs,negative,5
2020-08-09 19:41:24,video,dogs,positive,50
2021-02-01 02:40:09,video,dogs,positive,65
2021-01-30 09:36:48,video,dogs,positive,72
2021-03-31 15:24:36,video,technology,positive,70
2021-02-05 17:00:19,video,technology,positive,75
2021-02-19 16:29:59,video,technology,positive,60
2020-07-25 00:00:21,video,technology,negative,12
2020-07-13 02:38:53,photo,soccer,positive,72
2021-01-13 13:11:03,photo,soccer,neutral,20
2021-01-02 16:46:38,photo,soccer,negative,12
2020-11-26 02:25:57,photo,soccer,positive,45
2020-08-25 19:18:58,photo,soccer,positive,70
2021-02-01 00:15:07,photo,soccer,negative,5
2021-06-04 14:36:48,photo,soccer,positive,65
2020-08-19 13:38:44,photo,soccer,positive,72
2021-04-22 02:08:07,photo,soccer,positive,70
2020-06-26 10:33:08,photo,soccer,positive,75
2020-08-15 18:16:38,photo,soccer,positive,50
2020-11-26 13:42:17,photo,soccer,positive,65
2021-04-14 00:56:54,photo,public speaking,positive,70
2020-07-21 21:27:18,photo,public speaking,neutral,20
2021-03-29 06:57:35,photo,public speaking,negative,10
2021-05-20 16:11:03,photo,public speaking,positive,70
2020-11-02 06:09:02,photo,public speaking,positive,50
2020-10-24 15:37:55,photo,public speaking,neutral,20
2020-09-07 14:42:05,photo,public speaking,positive,60
2021-03-04 02:46:37,photo,public speaking,negative,15
2021-01-07 14:08:59,photo,public speaking,positive,72
2020-07-06 11:18:23,photo,public speaking,neutral,35
2021-03-27 04:56:15,photo,public speaking,positive,50
2020-11-21 21:25:27,photo,public speaking,positive,45
2020-08-22 01:25:23,photo,public speaking,positive,70
2021-06-14 11:45:51,photo,public speaking,neutral,35
2020-07-15 19:28:53,photo,public speaking,negative,12
2021-03-21 14:39:14,photo,public speaking,positive,45
2021-04-07 03:15:32,photo,public speaking,positive,75
2021-04-24 06:56:18,photo,public speaking,positive,70
2020-09-30 14:05:52,photo,public speaking,positive,60
2020-07-19 19:28:53,photo,public speaking,positive,60
2021-01-21 07:08:24,photo,public speaking,negative,15
2021-01-31 13:48:15,photo,public speaking,negative,15
2020-12-24 03:24:57,photo,public speaking,negative,5
2021-05-27 01:44:22,photo,public speaking,negative,0
2021-02-13 04:14:45,photo,public speaking,negative,0
2020-07-14 04:36:58,photo,public speaking,positive,72
2020-07-15 16:03:17,photo,public speaking,negative,10
2020-10-08 17:23:39,photo,public speaking,positive,50
2020-11-12 23:55:59,photo,public speaking,positive,60
2021-02-21 05:01:29,photo,public speaking,positive,70
2020-07-09 08:58:04,photo,public speaking,positive,45
2020-06-26 23:45:10,photo,public speaking,positive,72
2020-11-20 13:18:45,photo,public speaking,negative,12
2021-05-29 21:34:57,photo,public speaking,positive,50
2021-02-22 02:48:34,photo,public speaking,neutral,20
2021-01-07 18:39:43,photo,public speaking,negative,15
2020-10-01 15:10:15,photo,public speaking,positive,72
2020-11-21 08:24:23,photo,public speaking,negative,5
2021-04-15 13:50:58,photo,public speaking,negative,15
2020-06-30 01:14:13,photo,public speaking,positive,65
2020-12-01 15:06:19,photo,public speaking,positive,70
2020-11-07 00:47:34,photo,public speaking,negative,15
2020-06-30 13:08:43,GIF,science,positive,75
2020-08-04 03:09:30,GIF,science,positive,60
2020-07-28 07:01:21,GIF,science,positive,45
2020-10-25 02:39:21,GIF,science,positive,75
2020-07-05 03:37:53,GIF,science,negative,12
2021-04-28 15:16:13,GIF,science,positive,70
2021-01-31 00:54:10,GIF,science,neutral,20
2020-08-29 11:37:51,GIF,science,positive,72
2020-10-15 12:09:51,GIF,science,positive,45
2020-08-02 21:20:42,GIF,science,positive,65
2020-10-31 21:46:10,GIF,science,negative,15
2020-10-12 09:40:05,GIF,science,positive,60
2020-12-12 12:22:24,GIF,science,positive,70
2021-01-09 16:37:02,GIF,science,positive,50
2020-08-23 04:39:40,GIF,science,negative,5
2020-12-22 04:20:41,GIF,science,positive,65
2020-11-07 08:49:52,GIF,science,negative,0
2021-04-17 22:45:10,GIF,science,positive,72
2021-04-21 00:21:08,GIF,science,negative,15
2020-07-19 10:33:01,GIF,science,positive,45
2020-07-06 02:08:44,GIF,science,positive,45
2021-03-26 05:42:40,GIF,science,positive,65
2020-09-13 11:24:46,GIF,tennis,positive,70
2021-01-28 21:06:52,GIF,tennis,negative,12
2021-01-20 01:15:51,GIF,tennis,neutral,20
2020-09-03 01:15:28,GIF,tennis,positive,75
2021-01-09 10:46:06,GIF,tennis,negative,12
2020-09-19 22:29:36,GIF,tennis,neutral,20
2021-05-29 07:21:43,GIF,tennis,positive,75
2021-05-15 19:04:28,GIF,tennis,negative,12
2020-08-15 12:27:11,GIF,tennis,positive,45
2021-03-31 15:51:15,GIF,tennis,negative,0
2021-02-15 03:32:10,GIF,tennis,neutral,35
2021-03-29 19:03:01,GIF,tennis,negative,15
2020-07-29 10:40:21,GIF,tennis,negative,15
2021-05-08 13:47:13,GIF,tennis,negative,5
2020-11-06 02:36:08,GIF,tennis,positive,60
2020-07-25 16:31:01,GIF,tennis,positive,75
2020-12-04 00:56:40,GIF,tennis,negative,12
2020-09-22 02:08:51,GIF,tennis,positive,75
2020-07-05 05:50:42,GIF,tennis,negative,5
2020-10-20 12:11:09,GIF,tennis,positive,70
2021-01-11 06:02:02,GIF,tennis,positive,60
2021-02-28 07:51:53,GIF,tennis,positive,70
2020-12-06 13:45:28,GIF,tennis,positive,45
2021-05-05 09:54:26,GIF,tennis,neutral,35
2020-08-27 18:36:22,GIF,tennis,positive,30
2020-10-15 01:29:34,GIF,tennis,positive,60
2021-01-15 11:33:42,GIF,tennis,neutral,35
2021-03-01 20:26:23,GIF,tennis,positive,45
2020-11-28 02:11:34,GIF,tennis,neutral,35
2020-06-26 19:05:37,GIF,tennis,positive,60
2020-12-30 13:37:07,GIF,tennis,positive,70
2021-02-14 21:15:34,GIF,tennis,positive,75
2021-03-27 20:07:46,GIF,tennis,positive,70
2020-08-23 07:38:36,GIF,tennis,negative,10
2020-11-09 08:23:03,GIF,tennis,positive,60
2021-05-12 20:45:29,GIF,tennis,negative,5
2021-04-15 13:23:20,GIF,tennis,negative,5
2020-08-16 22:58:59,GIF,tennis,neutral,35
2020-09-11 16:22:49,GIF,tennis,negative,0
2021-04-13 01:43:25,GIF,tennis,positive,45
2020-12-13 15:59:17,GIF,tennis,positive,70
2020-12-03 08:08:06,GIF,tennis,negative,10
2020-10-13 16:31:34,GIF,tennis,negative,0
2020-12-04 10:04:19,GIF,tennis,positive,70
2021-01-25 11:00:32,GIF,tennis,neutral,35
2021-05-04 19:40:16,GIF,tennis,negative,5
2020-07-23 19:31:31,GIF,tennis,negative,0
2021-01-06 06:08:01,video,food,positive,65
2020-10-21 03:48:31,video,food,negative,12
2021-02-23 22:36:09,video,food,negative,12
2021-01-26 01:00:43,video,food,positive,75
2020-12-18 14:07:00,video,food,neutral,35
2021-05-23 23:27:54,video,food,neutral,20
2020-10-31 03:17:05,video,food,negative,12
2021-02-20 20:02:26,video,food,neutral,20
2020-10-28 13:14:29,video,food,positive,75
2020-08-30 00:08:16,video,food,neutral,35
2020-12-08 13:12:56,video,food,negative,0
2020-11-04 21:06:52,video,food,negative,15
2020-08-24 13:48:29,video,food,negative,15
2021-01-05 13:15:46,video,food,negative,0
2021-02-28 09:21:36,video,food,positive,72
2020-09-22 04:09:35,video,food,negative,10
2020-11-08 02:43:54,video,food,negative,0
2020-10-26 11:48:40,video,food,positive,65
2020-11-04 14:58:21,video,food,positive,60
2021-05-31 01:24:35,video,food,positive,65
2021-03-07 06:31:09,video,food,neutral,35
2021-06-17 23:27:43,video,food,positive,45
2020-07-27 23:54:47,video,food,positive,45
2021-04-19 01:45:56,video,food,negative,0
2020-10-05 13:55:20,video,food,positive,50
2020-09-28 08:49:01,video,food,positive,75
2021-02-25 04:02:48,video,food,negative,10
2020-12-24 22:31:22,video,food,positive,60
2021-06-15 12:15:12,video,food,positive,60
2021-05-03 23:10:25,video,food,negative,10
2021-02-12 04:23:19,video,food,positive,45
2020-08-31 00:39:35,video,food,positive,72
2021-01-11 08:47:58,video,food,neutral,20
2020-08-02 20:28:34,video,food,positive,75
2020-10-18 12:49:22,video,food,negative,0
2021-03-28 08:08:25,video,food,neutral,35
2021-02-11 04:02:30,video,food,positive,75
2020-08-12 23:43:02,video,food,positive,60
2021-01-07 02:48:35,video,food,negative,15
2020-10-27 03:58:50,video,food,positive,30
2021-02-19 00:55:24,video,food,negative,15
2021-06-08 10:45:12,video,food,positive,75
2020-10-18 04:17:57,video,food,positive,50
2020-11-05 13:54:53,video,food,positive,75
2020-08-16 12:12:47,video,food,positive,45
2020-10-14 14:55:56,video,food,negative,15
2021-04-01 12:04:53,video,food,neutral,35
2020-09-25 06:17:26,video,food,positive,50
2021-03-03 18:40:34,audio,travel,positive,45
2020-10-30 03:52:21,GIF,fitness,positive,30
2021-02-12 05:48:42,GIF,fitness,positive,50
2021-02-08 03:28:00,GIF,fitness,negative,0
2021-04-02 07:49:50,GIF,fitness,positive,30
2020-06-30 05:53:45,GIF,fitness,negative,12
2020-10-22 23:10:08,GIF,fitness,negative,12
2021-06-16 13:46:38,GIF,fitness,neutral,20
2020-08-10 13:42:50,GIF,fitness,positive,70
2020-07-26 19:34:55,GIF,soccer,positive,72
2020-12-12 15:31:52,GIF,soccer,positive,30
2020-08-21 15:22:44,GIF,soccer,positive,70
2021-05-31 20:37:12,GIF,soccer,neutral,20
2021-02-14 06:00:42,GIF,soccer,neutral,20
2021-02-15 20:35:25,GIF,soccer,negative,0
2020-09-08 14:01:57,video,public speaking,negative,5
2020-10-28 07:37:33,video,public speaking,negative,12
2020-11-21 19:53:48,video,public speaking,positive,30
2020-10-16 22:41:35,video,public speaking,negative,15
2021-01-08 12:46:55,video,public speaking,negative,5
2020-09-07 06:55:04,video,public speaking,positive,70
2021-01-26 16:14:57,video,public speaking,negative,5
2020-09-15 22:47:26,video,public speaking,negative,12
2020-11-09 00:34:16,video,public speaking,positive,65
2020-09-03 13:36:20,video,public speaking,positive,50
2021-02-01 04:49:33,video,public speaking,neutral,20
2021-04-14 18:36:31,video,public speaking,positive,70
2021-01-12 11:57:12,video,public speaking,positive,65
2020-11-02 22:53:01,video,public speaking,negative,10
2021-03-08 00:05:02,video,public speaking,positive,60
2020-09-14 05:11:58,video,public speaking,positive,70
2020-07-28 09:50:53,video,public speaking,negative,10
2020-06-30 01:25:28,video,public speaking,positive,70
2021-01-26 19:53:46,video,public speaking,positive,72
2020-06-30 07:10:06,video,public speaking,positive,70
2021-05-19 16:20:37,video,public speaking,positive,72
2021-03-11 23:55:36,video,public speaking,positive,70
2020-10-17 22:39:24,video,public speaking,positive,70
2021-04-12 17:12:48,video,public speaking,positive,72
2020-11-25 01:57:44,video,public speaking,negative,5
2021-06-09 09:41:37,video,public speaking,negative,0
2021-05-20 17:51:52,video,public speaking,neutral,35
2020-09-30 18:09:27,video,public speaking,negative,5
2020-10-07 16:03:38,video,public speaking,positive,75
2020-10-07 01:24:33,video,public speaking,negative,15
2021-01-11 16:13:14,video,public speaking,negative,15
2020-12-26 06:13:28,video,public speaking,negative,0
2021-06-15 17:31:50,video,public speaking,negative,0
2021-05-21 09:25:49,video,public speaking,negative,15
2020-11-14 15:11:03,video,public speaking,positive,45
2021-05-05 15:38:53,video,public speaking,positive,75
2020-08-17 10:08:59,video,public speaking,positive,30
2020-12-31 05:53:41,video,public speaking,positive,45
2020-11-21 03:14:44,video,food,negative,0
2020-10-05 18:00:47,video,food,negative,5
2021-05-28 15:20:37,video,food,positive,70
2021-01-12 12:14:41,video,food,negative,5
2021-02-20 00:07:04,video,food,negative,15
2020-07-14 21:01:13,video,food,positive,45
2021-06-05 10:04:02,video,food,negative,12
2021-03-23 01:55:33,video,food,positive,70
2021-05-18 09:52:53,video,food,positive,70
2020-08-31 05:22:31,video,food,negative,15
2021-06-04 16:57:48,video,food,positive,50
2021-01-01 11:23:50,video,food,negative,0
2021-05-29 04:16:37,video,food,negative,10
2020-07-18 10:43:22,video,food,positive,30
2020-11-07 01:54:43,video,food,positive,72
2020-08-11 12:01:55,video,food,positive,50
2020-07-24 18:23:18,video,food,negative,10
2020-10-08 08:38:12,video,food,negative,15
2021-02-05 13:05:01,video,food,neutral,20
2020-11-09 03:05:47,video,food,neutral,20
2020-07-26 10:36:35,video,food,positive,30
2021-05-19 04:30:38,video,food,positive,50
2020-11-15 22:53:12,video,food,positive,75
2021-02-04 13:45:52,video,food,negative,12
2020-08-01 23:38:51,video,food,positive,45
2020-09-22 17:07:18,video,food,positive,75
2021-05-21 12:47:49,video,tennis,positive,72
2021-02-25 12:05:38,video,tennis,neutral,35
2021-04-10 09:41:43,video,tennis,negative,0
2021-04-06 19:56:38,video,tennis,negative,12
2021-04-05 16:42:13,video,tennis,negative,12
2020-12-14 12:53:01,video,tennis,negative,0
2021-03-06 10:03:19,video,tennis,positive,60
2020-10-12 01:42:57,video,tennis,negative,5
2020-11-14 10:25:46,video,tennis,positive,50
2021-06-07 12:44:11,video,tennis,negative,15
2021-02-13 13:45:04,video,tennis,negative,5
2021-05-08 11:21:04,video,tennis,positive,65
2020-11-20 19:09:52,video,tennis,negative,15
2020-07-18 03:52:55,video,tennis,positive,70
2020-08-27 15:23:50,video,tennis,positive,65
2020-09-29 02:49:19,video,tennis,negative,10
2020-08-17 14:29:47,video,tennis,positive,50
2020-08-16 17:45:53,video,tennis,positive,70
2020-07-06 00:08:33,video,tennis,positive,50
2020-07-22 01:15:31,video,tennis,positive,60
2021-05-16 13:24:49,video,tennis,negative,15
2021-05-20 22:09:11,video,tennis,positive,65
2021-02-11 08:54:18,video,tennis,negative,5
2020-08-03 17:58:38,video,tennis,positive,45
2020-09-18 16:29:26,video,tennis,positive,70
2021-03-27 08:58:02,video,tennis,negative,5
2020-07-13 21:02:55,video,tennis,negative,10
2021-01-19 03:07:21,video,tennis,positive,75
2021-04-30 06:11:44,video,tennis,positive,70
2021-04-04 01:34:57,video,tennis,positive,50
2021-02-03 18:41:02,video,tennis,neutral,20
2020-10-06 10:20:38,video,tennis,negative,0
2020-11-07 17:59:44,video,tennis,positive,30
2020-12-22 01:07:31,video,tennis,negative,10
2021-03-20 14:45:28,video,tennis,neutral,20
2020-08-14 09:02:52,video,tennis,positive,45
2020-09-20 19:55:10,video,tennis,positive,45
2020-12-20 16:12:43,video,tennis,negative,15
2021-05-08 18:54:26,video,tennis,positive,72
2020-10-23 18:02:54,video,tennis,neutral,35
2020-08-27 15:08:16,video,tennis,negative,0
2021-05-23 04:59:48,video,tennis,positive,70
2020-11-27 02:50:41,video,tennis,positive,65
2021-04-16 11:15:42,video,tennis,positive,75
2021-05-29 04:12:17,video,tennis,negative,5
2020-10-27 22:11:33,GIF,soccer,negative,12
2021-04-03 05:44:00,GIF,soccer,positive,45
2020-06-29 07:21:18,GIF,soccer,negative,10
2020-09-24 06:28:35,GIF,soccer,negative,5
2020-09-13 08:14:15,GIF,soccer,negative,0
2020-08-19 03:04:41,GIF,soccer,negative,0
2021-05-11 19:35:08,GIF,soccer,positive,70
2021-04-02 19:50:59,GIF,soccer,neutral,20
2020-09-22 01:23:01,GIF,soccer,positive,70
2020-08-05 16:00:23,GIF,soccer,negative,15
2020-12-15 21:35:55,GIF,soccer,neutral,20
2021-05-28 07:57:13,GIF,soccer,positive,65
2021-06-09 03:55:12,GIF,soccer,positive,65
2020-09-07 15:21:15,GIF,soccer,positive,70
2020-08-08 00:29:39,GIF,soccer,negative,10
2020-12-19 19:32:28,GIF,soccer,positive,50
2021-05-24 06:17:01,GIF,soccer,negative,5
2021-01-26 07:25:50,GIF,soccer,negative,12
2020-10-30 16:05:41,GIF,soccer,positive,75
2021-06-13 16:05:07,GIF,soccer,positive,60
2020-12-18 02:24:13,GIF,soccer,positive,30
2020-07-21 16:09:40,GIF,soccer,negative,15
2021-02-05 15:30:00,GIF,soccer,positive,50
2020-12-10 05:51:09,GIF,soccer,positive,70
2020-09-26 12:50:47,GIF,soccer,positive,65
2021-01-13 16:16:52,GIF,soccer,positive,70
2020-11-12 17:49:44,GIF,soccer,positive,50
2021-03-09 21:30:11,GIF,soccer,negative,0
2021-05-18 03:47:37,GIF,soccer,positive,60
2021-06-12 22:03:54,GIF,soccer,positive,75
2020-08-02 18:35:15,GIF,soccer,positive,75
2021-04-14 13:48:08,GIF,soccer,negative,5
2020-12-12 23:02:32,GIF,soccer,negative,0
2020-08-24 09:55:33,GIF,soccer,neutral,20
2020-10-07 09:31:12,GIF,soccer,positive,50
2021-03-11 14:45:36,GIF,soccer,positive,50
2021-03-30 23:01:37,GIF,soccer,negative,0
2021-01-03 04:02:41,GIF,soccer,neutral,35
2021-05-30 09:31:36,GIF,soccer,neutral,35
2021-04-27 20:21:00,GIF,soccer,positive,30
2021-04-13 13:42:44,GIF,soccer,neutral,20
2021-03-13 16:37:19,GIF,soccer,neutral,20
2020-09-07 11:48:34,GIF,soccer,positive,72
2021-02-06 13:18:49,GIF,soccer,positive,30
2021-05-18 09:28:59,GIF,soccer,negative,15
2021-04-25 09:44:47,GIF,soccer,positive,75
2021-02-28 16:15:40,GIF,soccer,negative,10
2020-10-22 03:40:50,GIF,soccer,negative,0
2021-05-24 22:19:33,GIF,soccer,neutral,35
2021-01-25 06:22:53,GIF,soccer,positive,45
2020-11-16 06:37:18,GIF,soccer,positive,30
2020-10-25 11:15:56,GIF,soccer,negative,10
2021-04-18 11:43:35,GIF,soccer,positive,30
2021-06-03 19:13:16,GIF,soccer,neutral,20
2020-10-26 12:50:41,GIF,soccer,positive,65
2020-09-08 07:08:54,GIF,soccer,neutral,20
2020-12-02 08:56:41,GIF,soccer,negative,10
2020-11-18 08:02:57,GIF,soccer,positive,72
2021-05-25 14:14:10,GIF,soccer,positive,72
2021-04-26 06:00:38,GIF,soccer,neutral,20
2021-01-30 14:21:19,GIF,soccer,neutral,35
2020-07-23 02:21:30,GIF,soccer,neutral,35
2020-12-06 14:59:17,GIF,soccer,positive,70
2021-06-13 03:27:52,GIF,soccer,positive,70
2021-01-23 02:20:47,GIF,soccer,positive,45
2020-07-14 08:11:17,GIF,soccer,positive,45
2021-04-23 22:20:34,GIF,soccer,positive,60
2020-08-22 23:58:52,video,education,positive,30
2021-04-03 23:11:42,video,education,positive,50
2021-04-14 19:59:00,video,education,positive,70
2021-04-15 17:03:31,video,education,positive,72
2021-05-23 16:22:41,video,education,positive,70
2020-10-03 13:46:59,video,education,negative,10
2020-08-09 07:58:07,video,education,positive,50
2020-12-16 01:34:11,video,education,positive,70
2021-04-28 09:23:52,video,education,positive,75
2021-03-31 01:01:18,video,education,negative,15
2021-03-12 00:42:10,video,education,positive,70
2021-03-31 00:16:59,video,education,negative,0
2021-06-16 00:13:43,video,education,positive,65
2021-06-03 12:45:43,video,education,positive,50
2021-04-19 05:11:15,video,education,negative,10
2021-03-25 22:25:36,video,education,positive,60
2020-12-04 16:38:03,video,education,neutral,20
2020-12-17 06:49:58,video,education,positive,30
2020-07-22 17:01:44,video,education,positive,30
2020-09-11 19:13:59,photo,studying,positive,70
2021-04-30 09:22:59,photo,studying,positive,75
2020-12-13 15:10:55,photo,studying,negative,15
2021-03-28 17:20:37,photo,studying,positive,65
2021-03-23 13:28:05,photo,studying,negative,5
2020-08-01 02:18:16,photo,studying,positive,70
2021-05-02 01:43:50,photo,studying,positive,72
2021-06-09 12:33:19,photo,studying,positive,65
2020-08-27 06:31:16,photo,studying,negative,10
2021-04-12 16:22:31,photo,studying,positive,45
